text1,text2,text3,text4,class
odur,let,rug,nl,7
newadvent,org,cathen,a,13
http,www,whaletimes,org,7
http,www,airports,vu,13
www,postech,ac,kr,11
com,soups,soups,rec,6
http,thejewelrycasket,com,mortuary,13
amazing,com,ultra,htm,11
http,www,microsoft,com,3
uk,payroll,software,com,3
http,www,incwell,com,7
http,www,havers,com,6
www,gofalconsports,com,index,14
http,www,gamespot,com,7
http,www,navyaep,net,11
http,www,atlantavizsla,org,9
www,fiu,edu,thompsop,13
www,hamutaro,movie,com,7
melindaseverything,tripod,com,business,12
www,nwf,org,campusecology,7
www,angelfire,com,nf,14
com,news,newsc,html,13
http,aodhruadh,tripod,com,14
www,sds,org,morogoro,10
http,www,mahou,org,1
http,www,apdaparkinson,org,5
education,gibson,gibson,asp,10
http,www,geocities,com,5
http,www,lexingtonbridgeclub,com,4
usda,gov,java,profile,11
newadvent,org,cathen,a,13
pibweb,com,review,toon,4
http,www,gamestats,com,4
com,golf,proto,newport,14
org,jan,reply,html,10
www,buyerzone,com,computers,6
http,mud,tap,de,4
www,gnu,org,software,3
http,www,cihr,irsc,5
www,head,start,lane,6
cbs,sportsline,com,u,14
neptuno,unizar,es,jgg,11
http,www,gamezone,com,4
www,planetdreamcast,com,games,4
http,www,ima,mycology,11
geocities,com,southbeach,suite,5
cheatcc,com,pc,sg,4
www,imdb,com,name,1
http,www,studmine,com,0
com,row,g,genehackman,1
www,epinions,com,game,4
http,www,goaskalice,columbia,13
ds,gamespy,com,nintendo,4
wikipedia,org,wiki,giorgio,7
http,www,moulinrouge,pl,0
http,tabinta,mozdev,org,3
publish,uwo,ca,cagis,7
www,nhk,or,jp,7
http,www,campaldersgate,net,13
http,www,softwarescripts,com,3
www,cumbriascouts,org,uk,9
g,tv,com,themanshow,4
www,girl,nude,com,0
http,www,uscg,mil,2
acc,commnet,edu,financialaid,10
http,www,medialiteracy,net,8
fourfatchicks,com,reviews,journey,4
www,westga,edu,stuacts,10
www,ae,krakow,pl,10
http,www,ecsc,co,3
www,bazbus,co,za,9
www,uwlax,edu,theatre,10
www,hollandc,pe,ca,8
msue,imp,modf,master,6
about,visit,upc,tommy,10
www,mediartis,fr,birdwell,10
http,www,gmaf,org,14
christianbook,com,html,offshoot,13
http,www,ixengineercommand,com,13
http,www,gamespot,com,7
villageatwinona,com,bluelaws,asp,14
wiki,shine,dalgarno,se,11
http,www,ndatyngsboro,org,13
mysterymachine,com,sweetca,index,0
http,www,netpapers,com,8
bahai,library,org,unpubl,13
www,csun,edu,hcbio,5
free,porn,pics,free,0
http,www,ifaroma,org,5
com,cgi,bin,recipecateg,6
perl,xml,faq,html,3
http,proto,thinkquest,nl,7
http,workingmothers,suite,com,6
http,www,gamespot,com,4
com,recipe,xts,curri,6
www,etsu,edu,alumni,10
http,www,nlrtimes,com,8
http,www,worthplaying,com,7
salon,com,people,feature,1
gamespy,com,playstation,tomb,7
www,amateur,sex,amateur,0
http,www,wochenend,de,0
org,church%,pages,orlandofw,13
http,uhaweb,hartford,edu,10
www,hot,free,porn,0
http,www,cos,ca,5
www,atlasgeo,net,flags,10
http,news,bbc,co,7
www,qcol,net,arrowhead,9
www,gamespot,com,xbox,4
www,earth,li,kake,6
http,www,wickedgoodcharcoal,com,12
www,angelfire,com,co,9
recipesource,com,munchies,snacks,6
www,pictobank,com,photoluc,8
www,angelfire,com,mt,4
ac,uk,db,node,11
mcgees,com,kitchen,recipes,6
www,strip,poker,girls,0
newadvent,org,cathen,a,13
users,ox,ac,uk,10
http,www,telegraph,co,3
imdb,com,title,tt,1
sun,com,software,javafx,3
http,www,davincisworld,com,9
http,www,motherearthnews,com,6
ign,com,objects,html,4
http,www,bearlygettingdressed,com,12
http,www,female,domination,0
seen,students,mtu,edu,10
http,www,hotblocks,com,3
www,conncoll,edu,athletics,10
virtualitalia,com,recipes,edible,6
http,www,altstuff,com,8
www,theu,ca,comm,8
http,www,newspictures,com,8
www,ukoln,ac,uk,10
iron,furniture,online,com,2
www,sex,forum,wien,0
http,www,geocities,com,9
www,geocities,com,colosseum,14
globalconf,co,za,birthdefects,5
en,wikipedia,org,wiki,1
http,www,asahi,net,9
http,www,com,reminder,3
http,www,yellowjersey,co,14
voyeursexpixxx,com,pics,sexspy,0
http,www,fd,doc,5
ietf,org,html,rfc,3
com,cgi,ipageext,dll,3
hub,ring,natam,amp;list,13
http,www,deonixhosting,com,3
http,www,tothecenter,com,8
www,gamefaqs,com,console,7
us,imdb,com,name,1
www,easybyte,com,products,8
omnitel,net,martynas,virus,3
http,www,angelfire,com,4
www,aculink,net,catholic,13
bi,gender,tripod,com,13
http,www,theresa,hannover,0
en,unternehmenswelt,index,html,8
www,epersimmons,com,recipes,6
com,ce,people,a,7
http,www,medhelp,org,5
profootballhof,com,hof,member,14
http,www,corvetteobsession,com,9
http,www,landwriter,co,8
http,www,biomedcentral,com,5
com,search,search,zsp,6
com,p,page,cgi,12
http,www,house,plans,3
ca,concordiaseminary,ltr,ltr,1
www,symbio,organic,com,2
http,rxinsider,com,monographs,5
org,topics,sapir,whorf,11
www,vff,freisbacher,kinder,7
http,www,jackiechankids,com,7
etwinks,com,skater,dudes,0
www,excel,institute,co,1
http,www,lucyislawless,com,1
http,www,netjak,com,4
http,www,worldofspectrum,org,4
www,gamestats,com,objects,4
http,www,inart,psu,10
review,vanark,main,php,4
www,tim,mann,org,4
ref,v,verb,bon,6
www,lu,se,lu,10
http,wiki,python,org,3
home,earthlink,net,janescibelli,9
http,www,buffalostateathletics,com,14
www,volleyballtaunton,org,uk,14
personal,inet,fi,koti,9
bellaonline,com,articles,art,6
http,www,blarg,net,12
bridgeport,edu,pages,asp,10
cg,amg,dll,p,1
http,www,homes,today,2
http,www,burlingtonvet,com,5
home,clara,net,spig,6
flash,igri,bg,last,7
http,www,ibsus,com,3
broadwayworld,com,viewcolumn,cfm,1
http,www,allencountymuseum,org,10
http,www,bowling,fun,14
com,amateur,pussy,agc,0
http,www,download,me,3
http,www,philly,com,8
www,creators,com,copleydata,8
http,www,newgrounds,com,0
ukonline,co,uk,canonave,11
http,www,echohillsfarm,com,2
http,www,eatchicken,com,7
http,www,hepcat,se,12
http,home,neopets,com,7
angelfire,com,mo,smilinjohn,6
com,ps,action,armoredcore,4
bbc,co,uk,radio,4
http,www,gerweck,net,14
http,www,cubacrisis,net,7
http,www,chass,utoronto,10
http,www,myproductadvisor,com,6
http,www,soupsong,com,6
http,www,panix,com,6
http,www,springer,com,11
org,wiki,ramapough,mountai,13
nla,gov,au,ferg,8
www,xaviers,edu,mags,8
http,www,guiajuvenil,com,7
http,www,mbr,pwrc,11
http,www,gamecabinet,com,4
http,www,rfmwdesign,com,11
creatures,ifas,ufl,edu,11
www,water,ed,org,11
it,archcalc,bibliografia,new,11
sacred,texts,com,the,13
www,cqe,northwestern,edu,10
ansci,uiuc,edu,sheepnet,2
http,www,gnu,org,3
www,aviewofamerica,com,recipes,6
users,marth,seles,htm,14
eviltwincomics,com,stuper,index,4
http,www,gamingtarget,com,4
www,softwareartist,com,usmarshals,1
https,www,msu,edu,10
org,adventure,p,soft,4
uk,all,webnews,cgi,8
unb,ca,archives,naturenb,9
www,fd,doc,com,5
www,elcamino,edu,commadv,1
org,games,cheats,gamecube,4
www,craigmarlatt,com,canada,7
archive,gamespy,com,reviews,4
http,www,laptops,direct,3
http,www,aavirginislands,org,5
lesbian,toys,pics,in,0
www,poets,org,poet,1
http,www,geocities,com,1
http,www,shopbriarpatch,com,12
fair,org,index,php,8
www,sexwitch,com,lesbian,0
yahoo,com,group,frozen,6
http,www,hanssen,elsloo,7
http,www,cortechmachines,com,2
http,associations,missouristate,edu,11
http,www,gamespot,com,7
www,irma,international,org,2
www,jsyfruitveggies,org,resources,6
http,www,usca,org,10
http,www,ahc,dk,3
http,www,lakeland,cc,10
caique,parrot,pet,birds,9
http,www,midstateswoolgrowers,com,2
www,maxchicks,com,adeleworship,0
alligator,com,index,cfm,1
com,drinks,classic,bub,6
us,imdb,com,name,1
http,www,aurora,edu,14
http,www,rockstargames,com,4
com,sports,m,baskbl,14
http,geocities,com,kem,1
www,therecoverygroup,org,odat,5
http,www,hospicecarewv,org,5
hokkaido,lg,jp,kids,7
www,ptialaska,net,padcs,11
http,www,schizophrenia,on,5
http,www,parkview,com,5
http,www,usatoday,com,14
taopage,org,liehtzu,html,13
com,articles,p,html,4
dragonclub,org,index,htm,14
http,mhin,bu,edu,5
http,www,bigeast,org,14
http,fooddownunder,com,cgi,6
qualitative,research,net,fqs,5
http,www,methodsreporter,com,8
http,www,caa,co,13
http,www,sacobserver,com,8
http,sweb,cz,coins,9
ummz,umich,edu,site,11
http,www,jumphouses,com,12
http,athletics,mcm,edu,14
http,www,hawkhoops,com,14
ne,jp,umejava,smalltalk,3
uleth,ca,alumni,publications,8
http,www,darbydowns,org,14
saturn,med,nyu,edu,11
http,www,newscientist,com,9
http,www,geocities,com,10
grandmanannb,com,dulse,htm,6
www,srs,ac,uk,11
www,spec,pro,com,2
luiscabral,org,iio,links,11
www,nativetech,org,pottery,7
http,www,aquahabitat,com,9
http,www,narrevet,com,5
animaldiversity,ummz,umich,edu,11
http,www,associatedbank,com,2
http,www,newsrecord,org,8
bartcop,com,contra,htm,13
http,www,jennaphotos,com,0
http,www,stmarytx,edu,14
com,blweb,site,main,13
http,www,pr,tokai,10
blackwellpublishing,com,journal,asp,11
www,sm,c,com,4
com,timi,romolini,im,1
richards,realm,com,stories,0
www,geocities,com,area,0
http,www,thecheercenter,com,14
infodoc,plover,net,manuals,4
http,www,artofthewest,biz,12
http,atlas,lsu,edu,11
http,www,atlasgeo,net,10
http,sustainable,cities,org,10
http,www,msicems,com,11
radio,weblogs,com,categories,3
geocities,com,o,m,13
www,vellacheese,com,html,6
carleton,ca,ip,community,13
http,www,learn,xml,3
http,www,woodshedcreations,com,12
www,guildofblades,com,empires,4
http,www,geocities,com,1
www,educaserve,com,anglais,10
http,www,ibiblio,org,11
http,news,service,stanford,10
edu,t,arp,t,10
modecideas,com,chess,htm,4
ucmp,berkeley,edu,plants,11
www,kenyabirds,org,uk,11
www,greengates,edu,mx,10
www,netcooks,com,recipes,6
http,www,tavs,co,12
http,annocpan,org,recent,3
http,www,csustan,edu,1
the,lawrence,ledger,fr,8
pacific,western,rail,com,12
com,soups,soups,rec,6
http,www,gbgm,umc,13
octana,es,indexeng,htm,2
net,martynas,virus,e,3
http,www,grandmajam,com,4
www,t,sql,com,3
http,www,astrology,com,7
http,www,pinewoodcandles,com,12
goodegg,com,recipe,omelette,6
arclab,com,products,amlc,3
http,website,lineone,net,13
edu,econ,indiaconf,iec,11
http,www,crassulaceae,com,11
http,www,alexia,us,1
http,www,punchlister,com,3
http,www,xfind,de,0
www,privat,escort,com,0
www,werder,de,english,14
http,brothersinarms,com,au,9
asp,database,art,asp,1
http,www,plasticsurgeryaffiliates,medem,5
http,www,guttertongs,com,2
http,www,howdididoit,com,6
http,www,wowgold,com,4
http,fun,familyeducation,com,7
abc,go,com,primetime,7
teens,aol,com,entertainment,7
ne,us,parks,guides,9
reference,aol,com,space,7
gamespot,com,ps,action,4
http,www,amsfperform,org,1
apps,pbcs,dll,frontpage,8
http,www,uia,no,10
www,linguistlist,org,topics,11
www,doulos,com,knowhow,11
http,www,cardi,cornell,10
jrank,org,lob,lup,13
rockhall,com,hof,inductee,1
cshl,org,public,history,11
fwie,fw,vt,edu,11
http,www,free,gay,0
www,bankterrace,mfbiz,com,13
www,naturallyconnected,com,au,13
http,web,ukonline,co,11
www,eastleighreferees,co,uk,14
chass,utoronto,ca,tact,11
http,www,sega,com,4
ntlworld,com,don,burluraux,9
http,www,getawebpagename,com,3
http,www,snhu,edu,14
www,mid,statesfootball,org,14
http,www,whitmanarchive,org,7
en,wikipedia,org,wiki,7
com,dg,nsf,c,5
www,alliedpress,co,nz,8
http,www,hawkesbury,yourguide,8
http,www,gotcg,net,3
du,bonheur,free,fr,7
http,www,haro,online,1
http,www,shookandstone,com,13
epinions,com,sprt,stadiums,6
stars,aria,giovanni,htm,0
http,www,dhsec,com,2
sportsline,com,u,basketball,14
angelfire,com,sk,tcmfan,3
http,www,hamc,com,5
http,www,kidshealth,org,7
dtic,mil,cgi,bin,13
www,newadvent,org,cathen,13
http,www,divingtradeint,com,9
u,bordeaux,fr,cohen,11
www,freewebs,com,bobbert,7
http,www,nativetech,org,7
http,www,agroatlas,spb,11
porn,hardcore,porn,com,0
http,www,shapirowholesale,com,12
mn,us,kids,frogsforkids,7
http,www,reslife,org,10
http,allrecipes,com,recipe,6
www,gameslords,com,max,4
designbasics,com,articles,designtre,6
www,k,hi,us,7
susanthelibrarian,tripod,com,govdocskid,7
webring,com,hub,ring,1
www,rottentomatoes,com,m,1
http,www,trilbywood,com,1
r,boone,recreation,birdw,9
housing,utoronto,ca,temp,10
http,www,leavenworthtimes,com,8
www,citypromotions,co,uk,0
kauai,html,sites,grov,10
com,parentalk,preteen,html,6
com,shows,originals,the,1
http,pc,gamespy,com,7
members,optusnet,com,au,4
http,www,kenosha,aikikai,14
http,www,odin,inc,3
blumtn,home,comcast,net,9
www,karadar,com,dictionary,1
http,www,safemotherhood,org,6
crazy,cinema,com,review,1
members,tripod,com,wakpa,6
users,skynet,be,oudheid,7
groups,yahoo,com,group,0
http,www,lifethymebotanicals,com,12
tour,eiffel,fr,teiffel,7
http,www,katzen,com,2
pasoregistry,com,db,forum,14
www,bseps,org,uk,9
com,kids,a,htm,7
http,www,mcr,jobs,2
http,rpgvault,ign,com,4
http,home,clear,net,9
http,lesleycooks,tripod,com,6
http,www,prairieghosts,com,13
http,www,cs,cmu,3
soccernet,espn,go,com,14
http,www,police,pref,7
http,www,elook,org,4
http,www,vmtw,com,12
www,willamette,edu,athletics,14
http,www,gamecabinet,com,4
http,us,imdb,com,1
http,www,recipezaar,com,6
http,www,trannyfucking,com,0
www,imdb,com,name,1
www,bright,net,mccoll,2
http,www,provet,co,5
cs,washington,edu,research,6
au,ferg,issn,html,8
www,energy,net,org,13
porn,pics,free,porn,0
geocities,com,thetropics,island,6
www,sweethour,com,young,0
http,www,bigdaddysoftware,com,3
xbox,gamespy,com,xbox,4
www,recipesource,com,soups,6
http,www,geocities,com,3
http,www,cheatingplanet,com,4
weightwatchers,diets,blogspot,com,6
www,untanned,com,white,0
classicbookshelf,com,library,leroux,1
http,gometrostate,cstv,com,14
http,www,geotextiles,com,2
org,kc,kc,html,7
mactyre,net,scm,articles,4
adnuncuamprosperareest,chez,alice,fr,0
un,int,maldives,maldives,7
http,www,stjoemed,com,5
http,allaboutfriends,free,fr,7
http,www,reticles,us,11
http,www,apam,columbia,11
net,flags,anglais,html,10
www,mobygames,com,game,4
gamesfirst,com,reviews,paul,4
com,au,index,php,8
com,info,basics,gui,4
about,com,od,loveanddating,7
http,www,world,newspapers,8
www,ccf,org,hk,5
sexhosters,com,gold,hairy,0
http,healthlink,mcw,edu,5
http,www,vutorch,com,8
org,campusecology,index,cfm,7
whatscookingamerica,net,icecream,htm,6
vff,freisbacher,kinder,de,7
http,listserv,acor,org,5
net,asia,carrera,po,0
wikipedia,org,wiki,columnist,8
groups,yahoo,com,group,6
paysites,org,carmens,o,0
http,www,luxurycorner,com,12
http,www,allhomemadecookies,com,6
edu,pubs,symposia,reading,10
iprimus,com,au,deltasoft,1
retecal,es,pelumar,temp,7
www,bethanderson,hotclue,com,1
www,times,journal,com,8
com,medical,femdom,mo,0
http,www,lotthouse,org,6
www,access,hosting,net,3
dotsrc,org,ldp,howto,3
pbcs,dll,section,ca,8
http,www,mmat,ubc,10
http,www,schoolexpress,com,10
http,www,eubusiness,com,13
www,well,com,mhuff,9
soccer,acc,w,soccer,14
http,archive,gamespy,com,4
nc,com,nrsfa,troutspecies,7
www,butik,storpige,dk,0
http,www,sci,tech,11
com,recipe,chicken,stew,6
dietandbody,com,article,html,6
http,www,secondchancepetadoption,org,9
http,www,firestone,com,2
http,www,paradisegolfinstruction,com,14
coling,sinica,edu,tw,11
www,wqxr,com,cgi,1
http,www,pinknoises,com,1
http,www,freeyourmind,info,12
com,archive,category,hanu,6
smileys,childcare,co,uk,6
i,love,dogs,com,9
members,madasafish,com,d,14
http,www,stanford,edu,11
louisiana,gov,tabid,default,10
brainiac,com,mwwg,index,4
http,www,dipbot,unict,11
http,www,raffiphoto,com,8
http,www,oldwestbury,edu,10
newadvent,org,cathen,b,13
org,jamboree,wjstamp,htm,9
http,www,gamespot,com,4
abrf,org,jbt,june,11
toy,com,sinful,hardcore,0
co,uk,hi,sci,11
http,www,codelyoko,fr,7
http,www,ilstu,edu,10
soc,ru,ac,za,10
fortunecity,com,tinpan,flavour,1
lovetoknow,com,wiki,category,6
http,www,thelittleknittingcompany,co,12
org,sweet,home,ind,5
www,pharmacy,purdue,edu,5
shankel,best,vwh,net,4
http,gba,gamespy,com,4
dipbot,unict,it,orto,11
info,afc,telu,htm,14
rochester,edu,people,mary,11
http,www,gaming,age,4
lib,rochester,edu,camelot,1
com,computer,doswin,data,4
http,www,lawrencebicycleclub,org,14
http,www,asw,net,10
http,www,marinakharma,com,1
www,track,trace,com,2
www,nasaa,org,investor,6
ac,at,horst,prillinger,10
http,www,hamutaro,movie,7
http,www,gamespot,com,4
org,sdb,lilo,fails,3
org,wiki,chipstead,f,14
xbox,gamespy,com,xbox,4
www,rxlist,com,cgi,5
www,geocities,com,fragglerock,9
www,bcra,org,uk,9
http,www,phoenixxfirestudios,com,12
www,angelfire,com,me,12
www,police,pref,kanagawa,7
www,free,nude,amateur,0
http,www,joltcountry,com,4
http,www,thinkquest,org,10
nude,com,amateurs,index,0
recipesource,com,fgv,salads,6
http,www,guardian,co,8
www,ph,utexas,edu,11
http,www,congenitalheartdefects,com,5
www,flash,net,comvoice,13
www,culture,gouv,fr,7
topix,com,mlb,texas,14
http,kanazawa,pwp,blueyonder,14
process,chemistry,solutions,com,11
nau,edu,cline,speccoll,10
http,www,dasselcokato,com,8
com,heel,face,prowrest,14
http,www,lhhh,net,14
perfectentertaining,com,page,html,6
www,musica,cz,comp,1
lesbian,oral,sex,com,0
www,simdesign,nl,dtpdocuments,3
http,www,sacred,texts,13
meyerhoff,goucher,edu,legacy,14
www,british,male,strippers,0
com,docs,books,poster,3
ac,za,beta,academic,11
http,www,elook,org,4
com,the,kitchen,re,6
netfirms,com,index,html,9
www,itvs,org,travis,1
www,fbac,co,uk,9
ed,jp,vod,html,7
http,www,freewebs,com,12
topcities,com,index,html,9
www,progressleader,com,au,8
http,tweekerthespeaker,tripod,com,7
annspussypatrol,com,bubblesatplay,i,0
guardian,co,uk,world,13
udel,edu,stu,org,5
news,rten,tis,www,8
ign,com,articles,p,4
http,www,pack,org,7
http,www,geocities,com,7
encarta,msn,com,encyclopedia,7
http,plantnet,rbgsyd,nsw,11
net,lynx,shadowrun,shadowr,4
org,inthemix,celebs,index,13
www,tsubamesanjo,jc,or,7
http,www,geocities,com,7
http,www,chitraining,com,10
http,cowra,yourguide,com,8
http,www,ycht,com,2
http,www,digitalfilms,com,7
rockhounds,com,rockshop,stamps,9
www,agt,net,public,12
csd,uwo,ca,infocom,4
www,anandtech,com,cpuchipsets,3
com,n,action,battlezoner,4
recipesource,com,munchies,appetizer,6
http,wdn,itlnet,net,8
privat,escort,com,eva,0
http,www,gamespot,com,7
wiki,niccol%c,%b,mach,7
com,site,syws,makeup,5
info,cfm,pg,lo,5
wikipedia,org,wiki,molesey,14
http,www,russwrites,net,8
www,unl,edu,aopi,13
www,colin,com,br,2
www,ias,berkeley,edu,10
http,www,cremsol,com,3
soumu,go,jp,joho,7
http,www,deltanewsweb,com,8
http,www,faqs,org,3
com,shelters,ut,html,13
www,lissendenplayers,fsnet,co,1
tripod,com,desserts,streuse,6
www,jaycee,com,tuckahoe,13
http,www,cornholestore,com,12
marvistavet,com,html,feline,5
http,www,artisanornaments,com,12
http,en,wikipedia,org,11
http,www,watchtower,org,13
webring,com,hub,ring,0
http,www,bathbuccaneers,co,14
co,uk,hi,world,7
http,www,int,pan,11
http,news,service,stanford,1
jp,e,sf,sf,11
org,breeds,profiles,korat,9
http,www,debscottdesigns,com,12
www,hi,def,com,2
http,www,disney,nl,7
defence,gov,au,news,8
http,www,aphrodites,wellness,0
http,www,kidzworld,com,7
http,www,recreational,vehicle,2
http,publish,uwo,ca,7
www,stanford,edu,group,11
com,au,users,kyorke,12
http,www,chartkar,cn,2
http,www,brownes,co,12
www,geocities,com,motorcity,9
www,abc,net,au,7
composers,composer,cfm,compo,1
www,pamelajane,com,dont,7
gamefaqs,com,console,xbox,4
http,edition,cnn,com,8
se,joe,bluetail,vol,3
com,recipes,recipe,views,6
http,wii,ign,com,4
wikipedia,org,wiki,united,14
www,zwire,com,site,8
http,departments,firehouse,com,5
jawaking,tripod,com,jawaking,4
